ensembl_id,gene_id,Description
ENSRNOG00000000606,Pcdh15,protocadherin related 15
ENSRNOG00000000609,Ipmk,inositol polyphosphate multikinase
ENSRNOG00000000610,Cisd1,CDGSH iron sulfur domain 1
ENSRNOG00000000611,Ube2d1,ubiquitin-conjugating enzyme E2D 1
ENSRNOG00000000613,Tfam,"transcription factor A, mitochondrial"
ENSRNOG00000000614,Bicc1,BicC family RNA binding protein 1
ENSRNOG00000000618,Mdga2,MAM domain containing glycosylphosphatidylinositol anchor 2
ENSRNOG00000000622,Hint1,histidine triad nucleotide binding protein 1
ENSRNOG00000000632,Cdk1,cyclin-dependent kinase 1
ENSRNOG00000000633,Rhobtb1,Rho-related BTB domain containing 1
ENSRNOG00000000634,Cabcoco1,ciliary associated calcium binding coiled-coil 1
ENSRNOG00000000635,Arid5b,AT-rich interaction domain 5B
ENSRNOG00000000636,Rtkn2,rhotekin 2
ENSRNOG00000000638,Zfp365,zinc finger protein 365
ENSRNOG00000000639,Ado,2-aminoethanethiol dioxygenase
ENSRNOG00000000640,Egr2,early growth response 2
ENSRNOG00000000641,Nrbf2,nuclear receptor binding factor 2
ENSRNOG00000000645,Reep3,receptor accessory protein 3
ENSRNOG00000000648,Jmjd1c,jumonji domain containing 1C
ENSRNOG00000000655,Ptprc,"protein tyrosine phosphatase, receptor type, C"
ENSRNOG00000000657,Nek7,NIMA-related kinase 7
ENSRNOG00000000658,Acacb,acetyl-CoA carboxylase beta
ENSRNOG00000000661,Hps4,"HPS4, biogenesis of lysosomal organelles complex 3 subunit 2"
ENSRNOG00000000662,Srrd,SRR1 domain containing
ENSRNOG00000000663,Tfip11,tuftelin interacting protein 11
ENSRNOG00000000664,Tpst2,tyrosylprotein sulfotransferase 2
ENSRNOG00000000665,Pitpnb,"phosphatidylinositol transfer protein, beta"
ENSRNOG00000000692,Ung,uracil-DNA glycosylase
ENSRNOG00000000693,Svop,SV2 related protein
ENSRNOG00000000695,Ssh1,slingshot protein phosphatase 1
ENSRNOG00000000697,Coro1c,coronin 1C
ENSRNOG00000000699,Selplg,selectin P ligand
ENSRNOG00000000700,Tmem119,transmembrane protein 119
ENSRNOG00000000701,Iscu,iron-sulfur cluster assembly enzyme
ENSRNOG00000000702,Sart3,"spliceosome associated factor 3, U4/U6 recycling protein"
ENSRNOG00000000704,Cmklr1,chemerin chemokine-like receptor 1
ENSRNOG00000000708,Sgsm1,small G protein signaling modulator 1
ENSRNOG00000000716,Htr1f,5-hydroxytryptamine receptor 1F
ENSRNOG00000000718,Cggbp1,CGG triplet repeat binding protein 1
ENSRNOG00000000720,MGC95208,similar to 4930453N24Rik protein
ENSRNOG00000000723,RT1-CE5,"RT1 class I, locus CE5"
ENSRNOG00000000728,Clic2,chloride intracellular channel 2
ENSRNOG00000000729,Tmlhe,"trimethyllysine hydroxylase, epsilon"
ENSRNOG00000000763,RT1-M3-1,"RT1 class Ib, locus M3, gene 1"
ENSRNOG00000000774,Gabbr1,gamma-aminobutyric acid type B receptor subunit 1
ENSRNOG00000000775,Mog,myelin oligodendrocyte glycoprotein
ENSRNOG00000000777,RT1-S3,"RT1 class Ib, locus S3"
ENSRNOG00000000778,Znrd1as1,ZNRD1 antisense RNA 1
ENSRNOG00000000779,Znrd1,zinc ribbon domain containing 1
ENSRNOG00000000780,Ppp1r11,"protein phosphatase 1, regulatory (inhibitor) subunit 11"
ENSRNOG00000000781,Rnf39,ring finger protein 39
ENSRNOG00000000785,Trim39,tripartite motif-containing 39
ENSRNOG00000000786,Rpp21,ribonuclease P/MRP subunit p21
ENSRNOG00000000787,AABR07044364.1,"RT1 class I histocompatibility antigen, AA alpha chain-like"
ENSRNOG00000000795,RT1-N3,"RT1 class Ib, locus N3"
ENSRNOG00000000796,Ranbp2,RAN binding protein 2
ENSRNOG00000000798,Gnl1,G protein nucleolar 1
ENSRNOG00000000799,Abcf1,ATP binding cassette subfamily F member 1
ENSRNOG00000000800,Man1a1,"mannosidase, alpha, class 1A, member 1"
ENSRNOG00000000801,Msl3l2,male-specific lethal 3-like 2 (Drosophila)
ENSRNOG00000000802,Tbc1d32,"TBC1 domain family, member 32"
ENSRNOG00000000804,Mrps18b,mitochondrial ribosomal protein S18B
ENSRNOG00000000805,Gja1,"gap junction protein, alpha 1"
ENSRNOG00000000808,Hsf2,heat shock transcription factor 2
ENSRNOG00000000809,Atat1,alpha tubulin acetyltransferase 1
ENSRNOG00000000811,Pkib,cAMP-dependent protein kinase inhibitor beta
ENSRNOG00000000812,RGD1302996,RIKEN cDNA 2310061I04 gene
ENSRNOG00000000814,Fabp7,fatty acid binding protein 7
ENSRNOG00000000815,Smpdl3a,"sphingomyelin phosphodiesterase, acid-like 3A"
ENSRNOG00000000816,Ppp1r18,"protein phosphatase 1, regulatory subunit 18"
ENSRNOG00000000818,Nrm,nurim
ENSRNOG00000000823,Gcc2,GRIP and coiled-coil domain containing 2
ENSRNOG00000000824,Dse,dermatan sulfate epimerase
ENSRNOG00000000825,Calhm5,calcium homeostasis modulator family member 5
ENSRNOG00000000826,Flot1,flotillin 1
ENSRNOG00000000827,Ier3,immediate early response 3
ENSRNOG00000000831,Gtf2h4,general transcription factor 2H subunit 4
ENSRNOG00000000833,Vars2,"valyl-tRNA synthetase 2, mitochondrial"
ENSRNOG00000000836,Ltb,lymphotoxin beta
ENSRNOG00000000839,Nfkbil1,NFKB inhibitor like 1
ENSRNOG00000000840,Atp6v1g2,ATPase H+ transporting V1 subunit G2
ENSRNOG00000000841,Ddx39b,DExD-box helicase 39B
ENSRNOG00000000842,Ddah2,dimethylarginine dimethylaminohydrolase 2
ENSRNOG00000000847,Csnk2b,casein kinase 2 beta
ENSRNOG00000000848,Gpank1,G patch domain and ankyrin repeats 1
ENSRNOG00000000851,Bag6,BCL2-associated athanogene 6
ENSRNOG00000000852,Prrc2a,proline-rich coiled-coil 2A
ENSRNOG00000000853,Aif1,allograft inflammatory factor 1
ENSRNOG00000000858,Sapcd1,suppressor APC domain containing 1
ENSRNOG00000000860,Vwa7,von Willebrand factor A domain containing 7
ENSRNOG00000000861,Zic3,Zic family member 3
ENSRNOG00000000866,Rbmx,"RNA binding motif protein, X-linked"
ENSRNOG00000000867,Vars1,valyl-tRNA synthetase 1
ENSRNOG00000000869,Arhgef6,Rac/Cdc42 guanine nucleotide exchange factor 6
ENSRNOG00000000873,Brs3,bombesin receptor subtype 3
ENSRNOG00000000875,Fhl1,four and a half LIM domains 1
ENSRNOG00000000879,Slc9a6,solute carrier family 9 member A6
ENSRNOG00000000881,Mmgt1,membrane magnesium transporter 1
ENSRNOG00000000885,Auts2,autism susceptibility candidate 2-like
ENSRNOG00000000886,Caln1,calneuron 1
ENSRNOG00000000888,Sbds,"SBDS, ribosome maturation factor"
ENSRNOG00000000891,,zinc finger protein 958
ENSRNOG00000000893,Tmem248,transmembrane protein 248
ENSRNOG00000000894,Fry,FRY microtubule binding protein
ENSRNOG00000000895,Rabgef1,RAB guanine nucleotide exchange factor 1
ENSRNOG00000000900,Tpst1,tyrosylprotein sulfotransferase 1
ENSRNOG00000000901,Crcp,CGRP receptor component
ENSRNOG00000000902,Hsph1,heat shock protein family H (Hsp110) member 1
ENSRNOG00000000903,Asl,argininosuccinate lyase
ENSRNOG00000000905,Tex26,testis expressed 26
ENSRNOG00000000906,Medag,mesenteric estrogen-dependent adipogenesis
ENSRNOG00000000907,Alox5ap,arachidonate 5-lipoxygenase activating protein
ENSRNOG00000000909,Uspl1,ubiquitin specific peptidase like 1
ENSRNOG00000000913,Gusb,"glucuronidase, beta"
ENSRNOG00000000916,LOC100910196,katanin p60 ATPase-containing subunit A-like 1-like
ENSRNOG00000000918,Zbed5,"zinc finger, BED-type containing 5"
ENSRNOG00000000920,Phkg1,phosphorylase kinase catalytic subunit gamma 1
ENSRNOG00000000921,Ubl3,ubiquitin-like 3
ENSRNOG00000000922,Sumf2,sulfatase modifying factor 2
ENSRNOG00000000923,Cct6a,chaperonin containing TCP1 subunit 6A
ENSRNOG00000000924,Slc7a1,solute carrier family 7 member 1
ENSRNOG00000000925,Psph,phosphoserine phosphatase
ENSRNOG00000000926,Mrps17,mitochondrial ribosomal protein S17
ENSRNOG00000000931,Sfswap,splicing factor SWAP
ENSRNOG00000000936,Stx2,syntaxin 2
ENSRNOG00000000937,Slc46a3,"solute carrier family 46, member 3"
ENSRNOG00000000938,Ran,"RAN, member RAS oncogene family"
ENSRNOG00000000940,Flt1,FMS-related tyrosine kinase 1
ENSRNOG00000000942,Pan3,poly(A) specific ribonuclease subunit PAN3
ENSRNOG00000000954,Polr1d,RNA polymerase I and III subunit D
ENSRNOG00000000955,Lnx2,ligand of numb-protein X 2
ENSRNOG00000000956,Rasl11a,RAS-like family 11 member A
ENSRNOG00000000957,Rpl21,ribosomal protein L21
ENSRNOG00000000961,Glt1d1,glycosyltransferase 1 domain containing 1
ENSRNOG00000000962,Slc15a4,solute carrier family 15 member 4
ENSRNOG00000000963,Tmem132c,transmembrane protein 132C
ENSRNOG00000000967,Aacs,acetoacetyl-CoA synthetase
ENSRNOG00000000968,Rnf6,ring finger protein 6
ENSRNOG00000000974,Zfp358,zinc finger protein 358
ENSRNOG00000000975,Mcoln1,mucolipin 1
ENSRNOG00000000977,Pnpla6,patatin-like phospholipase domain containing 6
ENSRNOG00000000979,Bri3bp,Bri3 binding protein
ENSRNOG00000000981,Scarb1,"scavenger receptor class B, member 1"
ENSRNOG00000000983,Zfp394,zinc finger protein 394
ENSRNOG00000000985,Cpsf4,cleavage and polyadenylation specific factor 4
ENSRNOG00000000986,Camsap3,"calmodulin regulated spectrin-associated protein family, member 3"
ENSRNOG00000000988,Xab2,XPA binding protein 2
ENSRNOG00000000989,Bud31,BUD31 homolog
ENSRNOG00000000990,Pdap1,PDGFA associated protein 1
ENSRNOG00000000991,Arpc1b,"actin related protein 2/3 complex, subunit 1B"
ENSRNOG00000000994,Stxbp2,syntaxin binding protein 2
ENSRNOG00000000996,Arpc1a,"actin related protein 2/3 complex, subunit 1A"
ENSRNOG00000000999,Smurf1,SMAD specific E3 ubiquitin protein ligase 1
ENSRNOG00000001003,Trappc5,trafficking protein particle complex 5
ENSRNOG00000001004,Ncor2,nuclear receptor co-repressor 2
ENSRNOG00000001006,Nptx2,neuronal pentraxin 2
ENSRNOG00000001007,Baiap2l1,BAI1-associated protein 2-like 1
ENSRNOG00000001009,Bri3,brain protein I3
ENSRNOG00000001010,Tecpr1,tectonin beta-propeller repeat containing 1
ENSRNOG00000001011,Rflna,refilin A
ENSRNOG00000001030,Tsc22d1,"TSC22 domain family, member 1"
ENSRNOG00000001032,Ccz1b,"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated"
ENSRNOG00000001033,Nufip1,nuclear FMR1 interacting protein 1
ENSRNOG00000001034,Evi5l,ecotropic viral integration site 5-like
ENSRNOG00000001035,Gtf2h3,general transcription factor IIH subunit 3
ENSRNOG00000001037,Gpalpp1,GPALPP motifs containing 1
ENSRNOG00000001039,Eif2b1,eukaryotic translation initiation factor 2B subunit alpha
ENSRNOG00000001040,Pms2,"PMS1 homolog 2, mismatch repair system component"
ENSRNOG00000001043,Ddx55,DEAD-box helicase 55
ENSRNOG00000001044,Aimp2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
ENSRNOG00000001047,Map2k7,mitogen activated protein kinase kinase 7
ENSRNOG00000001048,Ankrd61,ankyrin repeat domain 61
ENSRNOG00000001049,Tpt1,"tumor protein, translationally-controlled 1"
ENSRNOG00000001050,Eif2ak1,eukaryotic translation initiation factor 2 alpha kinase 1
ENSRNOG00000001052,Slc25a30,"solute carrier family 25, member 30"
ENSRNOG00000001053,Tmed2,transmembrane p24 trafficking protein 2
ENSRNOG00000001055,Rilpl1,Rab interacting lysosomal protein-like 1
ENSRNOG00000001056,Snapc2,"small nuclear RNA activating complex, polypeptide 2"
ENSRNOG00000001057,Ctxn1,cortexin 1
ENSRNOG00000001058,Timm44,translocase of inner mitochondrial membrane 44
ENSRNOG00000001059,Usp42,ubiquitin specific peptidase 42
ENSRNOG00000001060,Snrnp35,small nuclear ribonucleoprotein U11/U12 subunit 35
ENSRNOG00000001061,Rilpl2,Rab interacting lysosomal protein-like 2
ENSRNOG00000001062,Kmt5a,lysine methyltransferase 5A
ENSRNOG00000001064,Sbno1,strawberry notch homolog 1
ENSRNOG00000001065,Cyth3,cytohesin 3
ENSRNOG00000001068,Rac1,Rac family small GTPase 1
ENSRNOG00000001069,Elavl1,ELAV like RNA binding protein 1
ENSRNOG00000001070,Cdk2ap1,cyclin-dependent kinase 2 associated protein 1
ENSRNOG00000001072,Cers4,ceramide synthase 4
ENSRNOG00000001073,RGD1563482,RIKEN cDNA 2810006K23 gene
ENSRNOG00000001074,Mphosph9,M-phase phosphoprotein 9
ENSRNOG00000001079,Daglb,"diacylglycerol lipase, beta"
ENSRNOG00000001080,Arl6ip4,ADP-ribosylation factor like GTPase 6 interacting protein 4
ENSRNOG00000001081,Ogfod2,2-oxoglutarate and iron-dependent oxygenase domain containing 2
ENSRNOG00000001082,Abcb9,ATP binding cassette subfamily B member 9
ENSRNOG00000001083,Kdelr2,KDEL endoplasmic reticulum protein retention receptor 2
ENSRNOG00000001086,Vps37b,VPS37B subunit of ESCRT-I
ENSRNOG00000001088,Rfc3,replication factor C subunit 3
ENSRNOG00000001090,Stard13,StAR-related lipid transfer domain containing 13
ENSRNOG00000001091,Hip1r,huntingtin interacting protein 1 related
ENSRNOG00000001092,Kl,Klotho
ENSRNOG00000001094,Zfp316,zinc finger protein 316
ENSRNOG00000001098,Pds5b,PDS5 cohesin associated factor B
ENSRNOG00000001099,Rbak,RB-associated KRAB zinc finger
ENSRNOG00000001101,Rnf216,ring finger protein 216
ENSRNOG00000001103,AABR07035437.1,sidekick cell adhesion molecule 1
ENSRNOG00000001104,Foxk1,forkhead box K1
ENSRNOG00000001106,Denr,density regulated reinitiation and release factor
ENSRNOG00000001107,AABR07035428.1,
ENSRNOG00000001108,N4bp2l2,NEDD4 binding protein 2-like 2
ENSRNOG00000001111,Brca2,"BRCA2, DNA repair associated"
ENSRNOG00000001113,Mmd2,monocyte to macrophage differentiation-associated 2
ENSRNOG00000001114,Wipi2,"WD repeat domain, phosphoinositide interacting 2"
ENSRNOG00000001115,Slc29a4,solute carrier family 29 member 4
ENSRNOG00000001117,Fbxl18,F-box and leucine-rich repeat protein 18
ENSRNOG00000001120,Med13l,mediator complex subunit 13-like
ENSRNOG00000001123,RGD1562310,RIKEN cDNA 2410131K14 gene
ENSRNOG00000001124,Rnft2,"ring finger protein, transmembrane 2"
ENSRNOG00000001126,Fbxw8,F-box and WD repeat domain containing 8
ENSRNOG00000001128,Tesc,tescalcin
ENSRNOG00000001129,Fbxo21,F-box protein 21
ENSRNOG00000001130,Nos1,nitric oxide synthase 1
ENSRNOG00000001134,Rfc5,replication factor C subunit 5
ENSRNOG00000001135,Wsb2,WD repeat and SOCS box-containing 2
ENSRNOG00000001136,Pebp1,phosphatidylethanolamine binding protein 1
ENSRNOG00000001138,Taok3,TAO kinase 3
ENSRNOG00000001139,Suds3,"SDS3 homolog, SIN3A corepressor complex component"
ENSRNOG00000001141,Srrm4,serine/arginine repetitive matrix 4
ENSRNOG00000001142,Prkab1,protein kinase AMP-activated non-catalytic subunit beta 1
ENSRNOG00000001143,Cit,citron rho-interacting serine/threonine kinase
ENSRNOG00000001148,Rplp0,ribosomal protein lateral stalk subunit P0
ENSRNOG00000001149,Pxn,paxillin
ENSRNOG00000001151,Sirt4,sirtuin 4
ENSRNOG00000001152,Glp1r,glucagon-like peptide 1 receptor
ENSRNOG00000001156,Msi1,musashi RNA-binding protein 1
ENSRNOG00000001158,Abcg1,ATP binding cassette subfamily G member 1
ENSRNOG00000001160,Triap1,TP53 regulated inhibitor of apoptosis 1
ENSRNOG00000001161,Gatc,glutamyl-tRNA amidotransferase subunit C
ENSRNOG00000001163,Srsf9,serine and arginine rich splicing factor 9
ENSRNOG00000001169,Slc37a1,solute carrier family 37 member 1
ENSRNOG00000001170,Cox6a1,cytochrome c oxidase subunit 6A1
ENSRNOG00000001171,Coq5,"coenzyme Q5, methyltransferase"
ENSRNOG00000001172,Rnf10,ring finger protein 10
ENSRNOG00000001173,Cabp1,calcium binding protein 1
ENSRNOG00000001174,Pde9a,phosphodiesterase 9A
ENSRNOG00000001177,Acads,acyl-CoA dehydrogenase short chain
ENSRNOG00000001178,Sppl3,signal peptide peptidase like 3
ENSRNOG00000001181,Wdr4,WD repeat domain 4
ENSRNOG00000001182,Ndufv3,NADH:ubiquinone oxidoreductase subunit V3
ENSRNOG00000001184,Pknox1,PBX/knotted 1 homeobox 1
ENSRNOG00000001185,RGD1311899,similar to RIKEN cDNA 2210016L21 gene
ENSRNOG00000001187,Oasl,2'-5'-oligoadenylate synthetase-like
ENSRNOG00000001189,Sik1,salt-inducible kinase 1
ENSRNOG00000001190,Git2,GIT ArfGAP 2
ENSRNOG00000001191,Tchp,"trichoplein, keratin filament binding"
ENSRNOG00000001192,Gltp,glycolipid transfer protein
ENSRNOG00000001194,Rrp1b,ribosomal RNA processing 1B
ENSRNOG00000001195,Trpv4,"transient receptor potential cation channel, subfamily V, member 4"
ENSRNOG00000001198,Fam222a,"family with sequence similarity 222, member A"
ENSRNOG00000001199,Pop5,"POP5 homolog, ribonuclease P/MRP subunit"
ENSRNOG00000001201,Cstb,cystatin B
ENSRNOG00000001203,Rrp1,ribosomal RNA processing 1
ENSRNOG00000001204,Ankrd13a,ankyrin repeat domain 13a
ENSRNOG00000001205,Agpat3,1-acylglycerol-3-phosphate O-acyltransferase 3
ENSRNOG00000001210,Pwp2,"PWP2, small subunit processome component"
ENSRNOG00000001211,Gatd3a,glutamine amidotransferase like class 1 domain containing 3A
ENSRNOG00000001214,Pfkl,"phosphofructokinase, liver type"
ENSRNOG00000001215,Cfap410,cilia and flagella associated protein 410
ENSRNOG00000001216,Trpm2,"transient receptor potential cation channel, subfamily M, member 2"
ENSRNOG00000001217,Lrrc3,leucine rich repeat containing 3
ENSRNOG00000001219,Tspear,thrombospondin-type laminin G domain and EAR repeats
ENSRNOG00000001222,Ube2g2,ubiquitin-conjugating enzyme E2G 2
ENSRNOG00000001223,Pttg1ip,PTTG1 interacting protein
ENSRNOG00000001224,Itgb2,integrin subunit beta 2
ENSRNOG00000001225,Fam207a,"family with sequence similarity 207, member A"
ENSRNOG00000001227,Adarb1,"adenosine deaminase, RNA-specific, B1"
ENSRNOG00000001228,Pofut2,protein O-fucosyltransferase 2
ENSRNOG00000001229,Col18a1,collagen type XVIII alpha 1 chain
ENSRNOG00000001232,Slc19a1,solute carrier family 19 member 1
ENSRNOG00000001235,Gna12,G protein subunit alpha 12
ENSRNOG00000001236,Brat1,BRCA1-associated ATM activator 1
ENSRNOG00000001237,Cabin1,calcineurin binding protein 1
ENSRNOG00000001238,Rsrc2,arginine and serine rich coiled-coil 2
ENSRNOG00000001239,Ddt,D-dopachrome tautomerase
ENSRNOG00000001241,Iqce,IQ motif containing E
ENSRNOG00000001242,Gstt3,"glutathione S-transferase, theta 3"
ENSRNOG00000001245,Pcbp3,poly(rC) binding protein 3
ENSRNOG00000001247,Clip1,CAP-GLY domain containing linker protein 1
ENSRNOG00000001249,Col6a1,collagen type VI alpha 1 chain
ENSRNOG00000001250,Lfng,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ENSRNOG00000001252,Chst12,carbohydrate sulfotransferase 12
ENSRNOG00000001253,Eif3b,"eukaryotic translation initiation factor 3, subunit B"
ENSRNOG00000001254,Col6a2,collagen type VI alpha 2 chain
ENSRNOG00000001255,Mlxip,MLX interacting protein
ENSRNOG00000001256,Atxn2,ataxin 2
ENSRNOG00000001258,Snx8,sorting nexin 8
ENSRNOG00000001259,Cux2,cut-like homeobox 2
ENSRNOG00000001260,Nudt1,nudix hydrolase 1
ENSRNOG00000001261,Ftcd,formimidoyltransferase cyclodeaminase
ENSRNOG00000001265,Mad1l1,mitotic arrest deficient 1 like 1
ENSRNOG00000001269,Ppp1cc,protein phosphatase 1 catalytic subunit gamma
ENSRNOG00000001270,Hvcn1,hydrogen voltage-gated channel 1
ENSRNOG00000001271,Card6,"caspase recruitment domain family, member 6"
ENSRNOG00000001272,Mcm3ap,minichromosome maintenance complex component 3 associated protein
ENSRNOG00000001273,Psmg3,proteasome assembly chaperone 3
ENSRNOG00000001274,Vps29,VPS29 retromer complex component
ENSRNOG00000001276,Pcnt,pericentrin
ENSRNOG00000001277,Mafk,MAF bZIP transcription factor K
ENSRNOG00000001278,Gpn3,GPN-loop GTPase 3
ENSRNOG00000001283,Anapc7,anaphase promoting complex subunit 7
ENSRNOG00000001285,Atp2a2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ENSRNOG00000001287,Gper1,G protein-coupled estrogen receptor 1
ENSRNOG00000001288,Gpr146,G protein-coupled receptor 146
ENSRNOG00000001289,LOC498154,RIKEN cDNA 3110082I17 gene
ENSRNOG00000001293,Get4,guided entry of tail-anchored proteins factor 4
ENSRNOG00000001294,Ift81,intraflagellar transport 81
ENSRNOG00000001295,S100b,S100 calcium binding protein B
ENSRNOG00000001296,P2rx7,purinergic receptor P2X 7
ENSRNOG00000001297,Prmt2,protein arginine methyltransferase 2
ENSRNOG00000001299,Sun1,Sad1 and UNC84 domain containing 1
